year,district,province,urban_rural,material_type,waste_category,bin_color,segregation_required,composition_percent,total_generated_tons,recycled_tons,composted_tons,landfilled_tons,open_dumped_tons,recycling_rate_percent,wrong_disposal_rate_percent,correctly_segregated_percent,co2_saved_tons,economic_value_LKR
2015,Colombo,Western,Urban,Organic/Food,Biodegradable,Green,False,64.0,608.0,0.0,36.48,244.61,326.91,4.7,27.8,72.2,0.0,0
2015,Colombo,Western,Urban,Paper,Recyclable,Blue,True,12.0,114.0,33.05,0.0,42.3,38.65,29.0,12.2,87.8,28.09,396600
2015,Colombo,Western,Urban,Plastic,Recyclable,Blue,True,7.0,66.5,5.74,0.0,26.41,34.35,8.6,24.2,75.8,4.88,103320
2015,Colombo,Western,Urban,Metal,Recyclable,Blue,True,4.0,38.0,17.61,0.0,8.79,11.6,46.3,34.2,65.8,14.97,792450
2015,Colombo,Western,Urban,Glass,Recyclable,Blue,True,3.0,28.5,5.94,0.0,12.5,10.06,20.8,12.9,87.1,5.05,47520
2015,Colombo,Western,Urban,Textile,Recyclable,Blue,True,4.0,38.0,4.46,0.0,19.25,14.29,11.7,22.2,77.8,3.79,22300
2015,Colombo,Western,Urban,E-waste,Hazardous,Red,False,2.0,19.0,0.0,0.0,11.92,7.08,2.3,24.5,75.5,0.0,0
2015,Colombo,Western,Urban,Rubber/Wood,Inert,Black,False,4.0,38.0,0.0,0.0,23.82,14.18,0.0,17.9,82.1,0.0,0
2015,Gampaha,Western,Urban,Organic/Food,Biodegradable,Green,False,64.0,307.2,0.0,18.43,136.31,152.46,5.0,13.4,86.6,0.0,0
2015,Gampaha,Western,Urban,Paper,Recyclable,Blue,True,12.0,57.6,16.51,0.0,15.28,25.81,28.7,9.3,90.7,14.03,198120
2015,Gampaha,Western,Urban,Plastic,Recyclable,Blue,True,7.0,33.6,3.64,0.0,18.45,11.51,10.8,9.8,90.2,3.09,65520
2015,Gampaha,Western,Urban,Metal,Recyclable,Blue,True,4.0,19.2,9.08,0.0,0.0,10.4,47.3,29.8,70.2,7.72,408600
2015,Gampaha,Western,Urban,Glass,Recyclable,Blue,True,3.0,14.4,2.7,0.0,7.03,4.67,18.7,26.5,73.5,2.29,21600
2015,Gampaha,Western,Urban,Textile,Recyclable,Blue,True,4.0,19.2,2.45,0.0,10.4,6.35,12.8,21.4,78.6,2.08,12250
2015,Gampaha,Western,Urban,E-waste,Hazardous,Red,False,2.0,9.6,0.0,0.0,4.54,5.06,0.7,15.0,85.0,0.0,0
2015,Gampaha,Western,Urban,Rubber/Wood,Inert,Black,False,4.0,19.2,0.0,0.0,11.94,7.26,2.0,22.0,78.0,0.0,0
2015,Kalutara,Western,Rural,Organic/Food,Biodegradable,Green,False,64.0,134.4,0.0,8.06,79.81,46.53,3.4,53.9,46.1,0.0,0
2015,Kalutara,Western,Rural,Paper,Recyclable,Blue,True,12.0,25.2,4.71,0.0,7.01,13.48,18.7,51.3,48.7,4.0,56520
2015,Kalutara,Western,Rural,Plastic,Recyclable,Blue,True,7.0,14.7,1.0,0.0,5.9,7.8,6.8,23.1,76.9,0.85,18000
2015,Kalutara,Western,Rural,Metal,Recyclable,Blue,True,4.0,8.4,2.25,0.0,3.54,2.61,26.8,31.4,68.6,1.91,101250
2015,Kalutara,Western,Rural,Glass,Recyclable,Blue,True,3.0,6.3,0.73,0.0,3.25,2.32,11.6,49.0,51.0,0.62,5840
2015,Kalutara,Western,Rural,Textile,Recyclable,Blue,True,4.0,8.4,0.62,0.0,4.67,3.11,7.4,39.0,61.0,0.53,3100
2015,Kalutara,Western,Rural,E-waste,Hazardous,Red,False,2.0,4.2,0.0,0.0,2.1,2.1,0.2,22.6,77.4,0.0,0
2015,Kalutara,Western,Rural,Rubber/Wood,Inert,Black,False,4.0,8.4,0.0,0.0,4.26,4.14,2.7,27.0,73.0,0.0,0
2015,Kandy,Central,Urban,Organic/Food,Biodegradable,Green,False,64.0,198.4,0.0,11.9,86.53,99.97,3.2,27.1,72.9,0.0,0
2015,Kandy,Central,Urban,Paper,Recyclable,Blue,True,12.0,37.2,10.98,0.0,7.89,18.33,29.5,10.0,90.0,9.33,131760
2015,Kandy,Central,Urban,Plastic,Recyclable,Blue,True,7.0,21.7,2.13,0.0,12.43,7.14,9.8,31.3,68.7,1.81,38340
2015,Kandy,Central,Urban,Metal,Recyclable,Blue,True,4.0,12.4,5.7,0.0,1.95,4.75,46.0,9.7,90.3,4.84,256500
2015,Kandy,Central,Urban,Glass,Recyclable,Blue,True,3.0,9.3,1.74,0.0,4.01,3.55,18.7,27.7,72.3,1.48,13920
2015,Kandy,Central,Urban,Textile,Recyclable,Blue,True,4.0,12.4,1.68,0.0,4.25,6.47,13.6,20.7,79.3,1.43,8400
2015,Kandy,Central,Urban,E-waste,Hazardous,Red,False,2.0,6.2,0.0,0.0,3.23,2.97,1.1,28.5,71.5,0.0,0
2015,Kandy,Central,Urban,Rubber/Wood,Inert,Black,False,4.0,12.4,0.0,0.0,6.29,6.11,1.5,21.3,78.7,0.0,0
2015,Matale,Central,Rural,Organic/Food,Biodegradable,Green,False,64.0,60.8,0.0,3.65,32.41,24.74,3.3,20.9,79.1,0.0,0
2015,Matale,Central,Rural,Paper,Recyclable,Blue,True,12.0,11.4,1.83,0.0,6.06,3.51,16.0,42.3,57.7,1.56,21960
2015,Matale,Central,Rural,Plastic,Recyclable,Blue,True,7.0,6.65,0.38,0.0,3.43,2.84,5.7,51.8,48.2,0.32,6840
2015,Matale,Central,Rural,Metal,Recyclable,Blue,True,4.0,3.8,1.03,0.0,1.24,1.53,27.0,46.4,53.6,0.88,46350
2015,Matale,Central,Rural,Glass,Recyclable,Blue,True,3.0,2.85,0.31,0.0,1.63,0.91,10.9,30.1,69.9,0.26,2480
2015,Matale,Central,Rural,Textile,Recyclable,Blue,True,4.0,3.8,0.25,0.0,1.53,2.02,6.6,48.3,51.7,0.21,1250
2015,Matale,Central,Rural,E-waste,Hazardous,Red,False,2.0,1.9,0.0,0.0,0.92,0.98,2.1,48.1,51.9,0.0,0
2015,Matale,Central,Rural,Rubber/Wood,Inert,Black,False,4.0,3.8,0.0,0.0,1.81,1.99,0.0,38.9,61.1,0.0,0
2015,Nuwara Eliya,Central,Rural,Organic/Food,Biodegradable,Green,False,64.0,54.4,0.0,3.26,22.63,28.51,4.4,31.1,68.9,0.0,0
2015,Nuwara Eliya,Central,Rural,Paper,Recyclable,Blue,True,12.0,10.2,1.64,0.0,4.92,3.64,16.0,34.9,65.1,1.39,19680
2015,Nuwara Eliya,Central,Rural,Plastic,Recyclable,Blue,True,7.0,5.95,0.46,0.0,2.42,3.07,7.7,20.2,79.8,0.39,8280
2015,Nuwara Eliya,Central,Rural,Metal,Recyclable,Blue,True,4.0,3.4,0.95,0.0,1.08,1.37,28.0,27.8,72.2,0.81,42750
2015,Nuwara Eliya,Central,Rural,Glass,Recyclable,Blue,True,3.0,2.55,0.27,0.0,1.3,0.98,10.5,53.0,47.0,0.23,2160
2015,Nuwara Eliya,Central,Rural,Textile,Recyclable,Blue,True,4.0,3.4,0.25,0.0,1.69,1.46,7.3,44.6,55.4,0.21,1250
2015,Nuwara Eliya,Central,Rural,E-waste,Hazardous,Red,False,2.0,1.7,0.0,0.0,0.78,0.92,1.1,53.7,46.3,0.0,0
2015,Nuwara Eliya,Central,Rural,Rubber/Wood,Inert,Black,False,4.0,3.4,0.0,0.0,1.96,1.44,0.0,30.5,69.5,0.0,0
2015,Galle,Southern,Urban,Organic/Food,Biodegradable,Green,False,64.0,121.6,0.0,7.3,76.7,37.6,4.3,24.5,75.5,0.0,0
2015,Galle,Southern,Urban,Paper,Recyclable,Blue,True,12.0,22.8,6.52,0.0,9.15,7.13,28.6,15.5,84.5,5.54,78240
2015,Galle,Southern,Urban,Plastic,Recyclable,Blue,True,7.0,13.3,1.6,0.0,6.91,4.79,12.0,11.9,88.1,1.36,28800
2015,Galle,Southern,Urban,Metal,Recyclable,Blue,True,4.0,7.6,3.45,0.0,0.0,4.15,45.5,14.5,85.5,2.93,155250
